Per Added Call of Group,CRITICAL_RESP_90TH_Coef,CRITICAL_RESP_90TH_Baseline,CRITICAL_RESP_90TH_P_Value,SERIOUS_RESP_90TH_Coef,SERIOUS_RESP_90TH_Baseline,SERIOUS_RESP_90TH_P_Value,LOW_ACUITY_RESP_90TH_Coef,LOW_ACUITY_RESP_90TH_Baseline,LOW_ACUITY_RESP_90TH_P_Value
CRITICAL_VOL,9.224920312704036,486.03416496261593,0.0,67.04672185008712,262.3876377808531,0.0,116.89247560427918,-60.75017648090056,0.0
SERIOUS_VOL,4.0233455047884785,524.8328604176317,0.0,41.60120507774251,308.24961452900993,0.0,78.20321958519826,-86.77425472867162,0.0
LOW_ACUITY_VOL,7.979596852829518,574.4064952815742,0.0,22.711050650291245,1024.859423444228,2.560158142423572e-100,116.85834364951224,1011.5062032834585,0.0
