Per Added Call of Group,CRITICAL_RESP_90TH_Coef,CRITICAL_RESP_90TH_Baseline,CRITICAL_RESP_90TH_P_Value,SERIOUS_RESP_90TH_Coef,SERIOUS_RESP_90TH_Baseline,SERIOUS_RESP_90TH_P_Value,LOW_ACUITY_RESP_90TH_Coef,LOW_ACUITY_RESP_90TH_Baseline,LOW_ACUITY_RESP_90TH_P_Value
CRITICAL_VOL,49.80684207141103,369.3195230407358,0.0,49.069237581355495,532.3712283168734,0.0,60.955825233881605,563.8699484442496,0.0
SERIOUS_VOL,12.062873768087629,464.26462633728954,0.0,72.86722766504721,394.2145618724149,0.0,58.98806048438338,510.2880112485831,0.0
LOW_ACUITY_VOL,17.482527722462734,494.02715936586816,3.8094613050191694e-170,57.75445214653937,614.8061764486011,0.0,230.49017448848082,395.19287993119605,0.0
