Per Added Call of Group,CRITICAL_RESP_90TH_Coef,CRITICAL_RESP_90TH_Baseline,CRITICAL_RESP_90TH_P_Value,SERIOUS_RESP_90TH_Coef,SERIOUS_RESP_90TH_Baseline,SERIOUS_RESP_90TH_P_Value,LOW_ACUITY_RESP_90TH_Coef,LOW_ACUITY_RESP_90TH_Baseline,LOW_ACUITY_RESP_90TH_P_Value
CRITICAL_VOL,10.377118431217692,430.78089311625195,0.0,71.55981078614863,161.86898748385283,0.0,118.75915953766629,-88.10134993224324,0.0
SERIOUS_VOL,5.68553452747767,451.5893406199766,0.0,47.89838666681054,130.45952539100256,0.0,82.64797681292283,-199.11224148891915,0.0
LOW_ACUITY_VOL,11.220947117281613,524.727042116216,0.0,62.84489002818174,862.3211584856589,0.0,148.6047421309971,912.0341123192791,0.0
