Per Added Call of Group,CRITICAL_RESP_90TH_Coef,CRITICAL_RESP_90TH_Baseline,CRITICAL_RESP_90TH_P_Value,SERIOUS_RESP_90TH_Coef,SERIOUS_RESP_90TH_Baseline,SERIOUS_RESP_90TH_P_Value,LOW_ACUITY_RESP_90TH_Coef,LOW_ACUITY_RESP_90TH_Baseline,LOW_ACUITY_RESP_90TH_P_Value
CRITICAL_VOL,5.234406767373521,511.11612591473323,0.0,28.560823406353506,509.01785879632746,0.0,58.85083460297349,328.82092003913135,0.0
SERIOUS_VOL,1.7784267373698666,548.8937078280517,2.131325597199183e-108,19.029662968839496,494.0627499484467,0.0,42.174363324331324,225.75619810393584,0.0
LOW_ACUITY_VOL,5.055878676651436,570.4601456506265,3.7506411678647633e-94,28.8587905561318,827.6019039452889,0.0,97.92073779235763,822.0908203555423,0.0
