Per Added Call of Group,CRITICAL_RESP_90TH_Coef,CRITICAL_RESP_90TH_Baseline,CRITICAL_RESP_90TH_P_Value,SERIOUS_RESP_90TH_Coef,SERIOUS_RESP_90TH_Baseline,SERIOUS_RESP_90TH_P_Value,LOW_ACUITY_RESP_90TH_Coef,LOW_ACUITY_RESP_90TH_Baseline,LOW_ACUITY_RESP_90TH_P_Value
CRITICAL_VOL,8.747885901839833,525.9028275170765,0.0,30.744249473311488,511.42256374993036,0.0,54.95341858248009,402.10830264510605,0.0
SERIOUS_VOL,4.120191636758094,551.6011977192057,0.0,23.30447887849977,458.3835865541867,0.0,42.873961275758774,285.48018208058966,0.0
LOW_ACUITY_VOL,8.764727399440453,594.0480044213497,3.421801027617653e-233,29.110095668902485,755.3197835386529,0.0,108.76678762654234,659.1131650946409,0.0
